pdf_name,file_hash,file_size_bytes,pdf_version,num_pages,num_objects,num_stream_objects,num_embedded_files,num_annotation_objects,num_form_fields,creation_date_ts,mod_date_ts,creation_mod_date_diff,avg_entropy_per_stream,max_entropy_per_stream,min_entropy_per_stream,std_entropy_per_stream,num_streams_entropy_gt_threshold,num_encrypted_streams,num_corrupted_objects,num_objects_with_random_markers,has_broken_name_trees,num_suspicious_filters,has_javascript,has_launch_actions,avg_file_size_per_page,compression_ratio,num_eof_markers,extraction_success,extraction_time_ms,error_count,label
ZF3VSSCDPGCPC7BIYVD474NMD3TEZZW2.pdf,737497d711ce1f826209ff5d449f595cbd4bed5113388923bb80f9dd5f50fe0a,88334,1.5,3,18,15,0,0,0,760250,760250,0,7.237688945153363,7.969568980815256,2.0,1.7426054828564637,9,0,0,0,False,26,False,False,29444.666666666668,29444.666666666668,1,True,30,0,0
T7NO5D5YLX4V5I7FBDQDAIXPBCLNAO7X.pdf,9230e6e4a7f2382c482d92be13209ced394af705683cbb9bb395a96ddcc9b111,243343,1.5,1,6,5,0,0,0,645681,645681,0,6.931577315885726,7.990330953588092,1.584962500721156,1.9725734503303367,8,0,0,0,False,5,False,False,243343.0,243343.0,1,True,46,0,0
4P4SBCDNQWWUH5CI2KLPHVFIUV54ODLT.pdf,b680aac9459f8c3d99da8c1454156aabfdf5a008ef69f942e2cd2f36a83802d7,7600138,1.6,215,1290,1075,0,0,1,845343,847475,2132,7.473363575341794,7.988386386820574,2.5,1.5728412851457299,10,0,0,0,False,411,False,False,35349.47906976744,35349.47906976744,1,True,1017,0,0
W5VHS6JXL2IZQKOADSVN6J2JWZPNWVC6.pdf,18f0c4471762c436439269172f7da8054bdd7dd5f07b677d8261726c45d5a41b,1991,1.3,1,6,5,0,0,0,736732,0,736732,6.825229294938273,6.901649787259668,6.748808802616878,0.07642049232139492,0,0,0,0,False,2,False,False,1991.0,1991.0,1,True,10,0,0
HCPCI34AEBKDUFDP442OTOL2AUGIG3BJ.pdf,786248454eea18e15ddb279473b9c1f17be62ebe107b21c4efccb066d97f259b,13023,1.4,1,6,5,0,0,0,823819,230584,593235,5.014015128166898,7.836497738174682,0.0806912852593357,2.4528944527470125,3,0,0,0,False,5,False,False,13023.0,13023.0,1,True,17,0,0
EALKFLTU3UCBB6QBUNJKABNLGIJTRP7B.pdf,bf4efd0bffa014edfaf34cfe8ca97b828824396bee43c9965da8f6266caccab0,16085,1.4,6,36,30,0,0,0,866453,866453,0,5.919324368311152,7.462159761460272,2.321928094887362,1.520191801213101,4,0,0,0,False,38,False,False,2680.8333333333335,2680.8333333333335,1,True,23,0,0
6OV4KF7OC77SI4QQ6W5MKPRKLFKJFMSA.pdf,7759ab50e35a87992d18ac3ea232558ed5cfb4c6064aaf4a28339c6ca2de34ab,31720,1.3,1,6,5,0,0,0,83279,83279,0,7.784924038445172,7.945144090905123,7.114529667070744,0.23791330434187738,10,0,0,0,False,5,False,False,31720.0,31720.0,1,True,16,0,0
AJAVZPZY2QKIC3OGVEN464UVGPNZP3HW.pdf,bc958bc8e6806b95ff770b1a8610ff02b40500d76503b1482acc0eecce0f3918,69188,1.1,1,6,5,0,0,0,179589,179589,0,7.178683546648812,7.745198587795666,2.5,1.4909622684178607,10,0,0,0,False,0,False,False,69188.0,69188.0,1,True,18,0,0
FGZMCFJCVNCWGNVLKUGB27JTHYPUFTIA.pdf,44662e01e134d87930687218f4fda6efaf7ca73a08abc2a16ef473893eb2eb77,16962,1.4,1,6,5,0,0,0,430613,554055,123442,5.746226889142938,7.888294679700451,1.0,2.4570198692918725,6,0,0,0,False,3,False,False,16962.0,16962.0,1,True,10,0,0
XYUJKKMUXDLLC6JTCXEWHK5ZMNSTPHF6.pdf,1f376de5f2b4629aae56ca0dfb2cc67c6c934b2bf301ba2f8dd60e1caefbb99f,10496,1.2,1,6,5,0,0,0,513277,513277,0,4.961011327596306,6.388999137279728,2.2516291673878226,1.3337036717596245,0,0,0,0,False,2,False,False,10496.0,10496.0,1,True,6,0,0
