pdf_name,file_hash,file_size_bytes,pdf_version,num_pages,num_objects,num_stream_objects,num_embedded_files,num_annotation_objects,num_form_fields,creation_date_ts,mod_date_ts,creation_mod_date_diff,avg_entropy_per_stream,max_entropy_per_stream,min_entropy_per_stream,std_entropy_per_stream,num_streams_entropy_gt_threshold,num_encrypted_streams,num_corrupted_objects,num_objects_with_random_markers,has_broken_name_trees,num_suspicious_filters,has_javascript,has_launch_actions,avg_file_size_per_page,compression_ratio,num_eof_markers,extraction_success,extraction_time_ms,error_count,label
TAHISCO PHYSICS 2 2025 - WazaElimu.com.pdf,3adea44d52eb7829838d43f97d864042f5df2eed6d7757b350f3b8722cca1e4e,419875,1.5,5,30,25,0,0,1,120218,154457,34239,7.39152843698393,7.993485019435797,2.321928094887362,1.6171906926796944,10,0,0,0,False,18,False,False,83975.0,83975.0,1,True,65,0,0
TN 412 Lecture 4 DSP z_transfotm_23_24.pdf,911be5e048d333b8eca2c753877254c3f0604bf2dedeac9d82bff94da23fef97,4498934,1.3,82,492,410,0,0,0,543624,543624,0,7.320938905003541,7.967384807188481,2.0,1.6877180389385786,10,0,0,0,False,998,False,False,54865.04878048781,54865.04878048781,1,True,867,0,0
gn-746-erb-2019-fees.pdf,9ff710647ff00535b596b19d961e7f7dcb17885ac6b08b3d64742f0abec9cfd1,271688,1.5,4,24,20,0,0,0,925047,925047,0,7.2592926691541075,7.989894880348707,2.75,1.6002476584611918,9,0,0,0,False,12,False,False,67922.0,67922.0,1,True,61,0,0
BIOLOGY -1 - WazaElimu.com (1).pdf,04627104d9f25129ac9a61af54932de777d92f937f3120e67c287794ea88b775,748504,1.7,8,48,40,0,0,1,976720,262295,714425,7.401652961765117,7.99430409214494,2.0,1.7118658485080969,10,0,0,0,False,17,False,False,93563.0,93563.0,1,True,130,0,0
"registered-engs-april-25,--2025-1745685273.pdf",a8663f111702dc6fb891e40119bfc729f41244f437db9476cd08426fd4094636,343819,1.5,19,114,95,0,0,0,57067,57067,0,6.69919677725068,7.993092640341499,2.94770277922009,2.073171238581823,8,0,0,0,False,30,False,True,18095.736842105263,18095.736842105263,1,True,110,0,0
PHYSICS -2 - WazaElimu.com.pdf,d5a8924afe19b742644c9f782623a0121e3a6ebbee5db4fb7db5e1dd29a940d2,348573,1.7,5,30,25,0,0,1,622802,62280,560522,7.309121157055947,7.994012219931499,1.584962500721156,1.8216610756807095,10,0,0,0,False,25,False,False,69714.6,69714.6,1,True,73,0,0
TAHISCO BIOLOGY 1 2025 - WazaElimu.com.pdf,86dde841958baa6399fce4fca42654f41590fd0a75af45766b34139f5305b837,394563,1.5,4,24,20,0,0,1,887008,651267,235741,7.316855593042778,7.992584301813928,1.584962500721156,1.8274248451005084,10,0,0,0,False,13,False,False,98640.75,98640.75,1,True,76,0,0
custom_8_embedded.pdf,a4db43f2d86cdf5f2088f089987da9c964003facca1d3ff34feee98c606906b1,154064,1.3,4,24,20,1,0,1,0,0,0,7.422863316438338,7.983938914628575,2.0,1.7151322331623216,10,0,0,0,False,8,False,False,38516.0,38516.0,1,True,57,0,1
ml_2_embedded.pdf,d52d3597cd65e7888f4a8e898ecd0c84385e59d7bf8b3d2e284ac666a948ecf9,10588,1.3,1,6,5,1,0,1,0,0,0,6.686722967269051,7.832907794111182,2.5,1.6397662309708274,7,0,0,0,False,2,False,False,10588.0,10588.0,1,True,16,0,1
output_interleave_complex.pdf,e3bf25084b66319f34e9fa40734ae96f17fc65f7f17df8e930354b4b79de4162,7268131,1.4,285,1710,1425,0,0,0,486002,0,486002,6.965071149685944,7.999757718078671,0.0,2.208200913957286,10,0,0,0,False,309,False,True,25502.21403508772,25502.21403508772,1,True,1891,0,1
agentic_ai_3_embedded.pdf,4eb8ed861b862748f0d76ca8bea070cdc435c94ca975e1c0abbce6920261d7f8,10563,1.3,1,6,5,1,0,1,0,0,0,6.602008959959335,7.833401355224688,1.584962500721156,1.860935507482108,7,0,0,0,False,2,False,False,10563.0,10563.0,1,True,8,0,1
Stego_JS_Embedded (1).pdf,2dffe2f31883add511de25d0e37996398c906745246ec40af621714203ac9458,576058,1.3,44,264,220,0,0,1,0,0,0,7.374623255958671,7.989618283568932,2.5,1.5525148138019647,10,0,0,0,False,71,True,True,13092.227272727272,13092.227272727272,1,True,153,0,1
output_6db26ba8f6b44088be97e30cc3ea2412.pdf,f17b28fc429a750237fcd2a15901b0eb59534e5c37eba38711cd21f693646d44,31350,1.4,1,6,5,0,0,0,0,0,0,7.526821678112545,7.941884989748798,5.964804843963988,0.6449719160517697,8,0,0,0,False,9,False,False,31350.0,31350.0,1,True,17,0,1
fintech_24_embedded.pdf,6c457d4a805d52d3ebd72e70f01045aa2cc465ade792d7b240e669d2b8e573db,10571,1.3,1,6,5,1,0,1,0,0,0,6.458144233777503,7.833248175653229,0.0,2.2614991842285512,7,0,0,0,False,2,False,False,10571.0,10571.0,1,True,19,0,1
tech_article_8_embedded.pdf,478b1d890cd64e4bb017fe78e41de638eda1d1b82bb35b3e89567ee63a9c77e8,777953,1.3,1,6,5,1,0,1,0,0,0,6.693382997418041,7.965626563183338,1.584962500721156,1.737750921842827,6,0,0,0,False,6,True,False,777953.0,777953.0,1,True,130,0,1
agritech_6_embedded.pdf,70b81d32bb3569382a12d69bbfc054543add85edbd7065b7eaa3d7ab268d6267,10557,1.3,1,6,5,1,0,1,0,0,0,6.654451810217818,7.834751655702163,2.2359263506290326,1.7091222636382666,7,0,0,0,False,2,False,False,10557.0,10557.0,1,True,14,0,1
tech_article_9_embedded.pdf,73343282482c76dec8e7c7c340e2e948c0f33514b478e0e4396a8924a1fc6d71,45031,1.3,1,6,5,1,0,1,0,0,0,6.435692334302672,7.868890521694174,0.0,2.1366729168289353,5,0,0,0,False,6,False,False,45031.0,45031.0,1,True,21,0,1
